room_id,latitude,longitude,accommodates,bathrooms,bedrooms,beds,security_deposit,cleaning_fee,minimum_nights,availability_365,number_of_reviews,review_scores_rating,price,host_days,host_identity_verified,host_is_superhost
257847.0,-34.07966267,151.1257009,6.0,2.0,3.0,4.0,0.0,100.0,4.0,331.0,14.0,95.0,200.0,2435.0,1.0,0.0
264513.0,-33.79381241,151.2026282,7.0,2.0,5.0,5.0,600.0,200.0,3.0,358.0,26.0,94.0,500.0,2485.0,1.0,0.0
267848.0,-33.90849734,151.2415906,4.0,1.0,2.0,2.0,500.0,50.0,1.0,365.0,24.0,92.0,299.0,2421.0,1.0,0.0
271182.0,-33.89434145,151.1819583,4.0,1.0,1.0,2.0,150.0,155.0,2.0,0.0,12.0,100.0,160.0,2886.0,0.0,0.0
273477.0,-33.88077898,151.2725494,6.0,3.0,3.0,4.0,950.0,250.0,10.0,365.0,1.0,100.0,384.0,2415.0,1.0,0.0
273673.0,-33.94201277,151.2489496,1.0,1.0,1.0,1.0,1000.0,100.0,1.0,365.0,0.0,96.0,125.0,2413.0,0.0,0.0
275625.0,-33.91970872,151.2443028,2.0,1.0,1.0,1.0,300.0,60.0,2.0,282.0,51.0,97.0,76.0,2410.0,0.0,0.0
279082.0,-33.65760918,151.3222199,7.0,3.0,4.0,4.0,800.0,250.0,7.0,0.0,0.0,96.0,720.0,2406.0,1.0,0.0
283378.0,-33.87734192,151.2209494,2.0,1.0,1.0,1.0,950.0,100.0,14.0,0.0,0.0,96.0,275.0,2607.0,1.0,0.0
287388.0,-33.89890416,151.1982403,4.0,1.0,2.0,2.0,0.0,100.0,3.0,209.0,2.0,100.0,200.0,2423.0,1.0,0.0
288671.0,-33.87865956,151.2153248,2.0,1.0,1.0,1.0,250.0,69.0,3.0,355.0,10.0,91.0,200.0,2840.0,1.0,0.0
290146.0,-33.88675565,151.2586688,6.0,2.0,2.0,2.0,500.0,150.0,2.0,206.0,13.0,89.0,205.0,2988.0,1.0,0.0
290929.0,-33.88472082,151.2368656,4.0,1.0,2.0,2.0,900.0,100.0,7.0,0.0,6.0,97.0,240.0,2390.0,1.0,0.0
292913.0,-33.8896643,151.2627604,1.0,2.0,2.0,3.0,250.0,250.0,5.0,363.0,0.0,96.0,76.0,2696.0,0.0,0.0
293951.0,-33.8898453,151.2703921,2.0,1.0,1.0,1.0,300.0,120.0,4.0,0.0,1.0,100.0,249.0,2385.0,1.0,0.0
295480.0,-33.83168493,151.0642147,2.0,1.0,1.0,1.0,300.0,60.0,1.0,313.0,107.0,98.0,84.0,2384.0,1.0,0.0
297633.0,-33.69359048,151.0999088,1.0,3.0,1.0,1.0,300.0,60.0,2.0,365.0,16.0,96.0,59.0,2378.0,0.0,0.0
299749.0,-33.79493837,151.259632,2.0,1.0,1.0,1.0,150.0,35.0,2.0,0.0,7.0,94.0,150.0,2377.0,1.0,0.0
300024.0,-33.92322427,151.2504896,3.0,1.0,2.0,2.0,0.0,50.0,30.0,18.0,11.0,96.0,110.0,2376.0,1.0,0.0
304762.0,-33.89333255,151.2718121,2.0,1.0,1.0,1.0,250.0,120.0,4.0,72.0,12.0,96.0,150.0,2622.0,0.0,0.0
